date,quarter,department,day,team,targeted_productivity,actual_productivity
1/01/2015,Quarter1,sweing,Thursday,8,0.8,0.940725424
1/01/2015,Quarter1,finishing ,Thursday,1,0.75,0.8865
1/01/2015,Quarter1,sweing,Thursday,11,0.8,0.800570492
1/01/2015,Quarter1,sweing,Thursday,12,0.8,0.800570492
1/01/2015,Quarter1,sweing,Thursday,6,0.8,0.800381944
1/01/2015,Quarter1,sweing,Thursday,7,0.8,0.800125
1/01/2015,Quarter1,finishing ,Thursday,2,0.75,0.755166667
1/01/2015,Quarter1,sweing,Thursday,3,0.75,0.753683478
1/01/2015,Quarter1,sweing,Thursday,2,0.75,0.753097531
1/01/2015,Quarter1,sweing,Thursday,1,0.75,0.750427826
1/01/2015,Quarter1,sweing,Thursday,9,0.7,0.721126957
1/01/2015,Quarter1,sweing,Thursday,10,0.75,0.712205247
1/01/2015,Quarter1,sweing,Thursday,5,0.8,0.707045902
1/01/2015,Quarter1,finishing ,Thursday,10,0.65,0.705916667
1/01/2015,Quarter1,finishing ,Thursday,8,0.75,0.676666667
1/01/2015,Quarter1,finishing ,Thursday,4,0.75,0.593055556
1/01/2015,Quarter1,finishing ,Thursday,7,0.8,0.540729167
1/01/2015,Quarter1,sweing,Thursday,4,0.65,0.52118
1/01/2015,Quarter1,finishing,Thursday,11,0.7,0.436326389
1/03/2015,Quarter1,finishing ,Saturday,4,0.8,0.988024691
1/03/2015,Quarter1,finishing ,Saturday,11,0.75,0.987880435
1/03/2015,Quarter1,finishing ,Saturday,9,0.8,0.956270833
1/03/2015,Quarter1,finishing ,Saturday,3,0.75,0.945277778
1/03/2015,Quarter1,finishing ,Saturday,1,0.8,0.902916667
1/03/2015,Quarter1,sweing,Saturday,1,0.8,0.800725314
1/03/2015,Quarter1,sweing,Saturday,3,0.8,0.800322936
1/03/2015,Quarter1,sweing,Saturday,8,0.8,0.800318644
1/03/2015,Quarter1,sweing,Saturday,12,0.8,0.800318644
1/03/2015,Quarter1,sweing,Saturday,11,0.8,0.800237288
1/03/2015,Quarter1,sweing,Saturday,5,0.8,0.800148649
1/03/2015,Quarter1,sweing,Saturday,6,0.8,0.800125
1/03/2015,Quarter1,sweing,Saturday,7,0.8,0.800125
1/03/2015,Quarter1,sweing,Saturday,10,0.75,0.787299691
1/03/2015,Quarter1,finishing ,Saturday,2,0.8,0.782447917
1/03/2015,Quarter1,sweing,Saturday,2,0.75,0.75024303
1/03/2015,Quarter1,finishing ,Saturday,10,0.7,0.7018125
1/03/2015,Quarter1,sweing,Saturday,4,0.7,0.700134038
1/03/2015,Quarter1,sweing,Saturday,9,0.7,0.699965217
1/03/2015,Quarter1,finishing ,Saturday,8,0.8,0.628333333
1/03/2015,Quarter1,finishing ,Saturday,7,0.8,0.6253125
1/04/2015,Quarter1,finishing ,Sunday,3,0.75,0.991388889
1/04/2015,Quarter1,finishing ,Sunday,9,0.8,0.931645833
1/04/2015,Quarter1,finishing ,Sunday,1,0.8,0.915229167
1/04/2015,Quarter1,sweing,Sunday,6,0.8,0.879714482
1/04/2015,Quarter1,finishing ,Sunday,4,0.8,0.861679012
1/04/2015,Quarter1,sweing,Sunday,9,0.8,0.850569492
1/04/2015,Quarter1,sweing,Sunday,7,0.8,0.850436438
1/04/2015,Quarter1,sweing,Sunday,8,0.8,0.850345133
1/04/2015,Quarter1,sweing,Sunday,4,0.8,0.800598058
1/04/2015,Quarter1,sweing,Sunday,1,0.8,0.800318644
1/04/2015,Quarter1,sweing,Sunday,2,0.8,0.800237838
